id,title,year,url,abstract,triage_score,matches_known_d01_anchor,screening_status,provenance,abstract_provenance
doi:10.1115/gt2017-63803,Tip-Clearance Measurements on an Engine High Pressure Turbine Using an Eddy Current Sensor,2017,https://doi.org/10.1115/gt2017-63803,"Gas turbine health monitoring is an important area of research. As the performance of aircraft and power plants increase, they will require better sensors for health monitoring systems to prevent failures. Health monitoring systems help in preventive maintenance reducing unnecessary downtime and maintenance costs. Gas turbine blades are subjected to dynamic loads caused by rotor imbalances, distortions in the intake flows etc. These loads cause low or high cycle fatigues and the blades can fail over time. Tip-timing and tip-clearance systems makes it possible to assess turbomachinery blade vibration by using non-contact measurement systems such as optical, eddy current, hall effect, capacitve etc. The most widely used systems in industry are optical, however, these systems are still largely prone to contamination problems from dust, dirt, oil, water etc. Further development of these systems for in-service use is problematic because of the difficulty in eliminating contamination of the optics. Other systems, although immune to contamination, may not be able to measure both tip-clearance and tip-timing at the same time due to their operating principle. Another limitation is that they cannot be used in high temperature applications such as in a high pressure turbine where the temperatures can reach 1400°C. Eddy current sensors are found to be quite robust and can measure both tip-timing and tip-clearance. They are currently being used for gas turbine health monito",8,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 7, ""source_id"": ""doi:10.1115/gt2017-63803""}, {""abstract_available"": false, ""db"": ""openalex"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 4, ""source_id"": ""doi:10.1115/gt2017-63803""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 7, ""source_id"": ""doi:10.1115/gt2017-63803""}"
doi:10.4050/vfs-f60-000155,HOVER PERFORMANCE OF A SMALL-SCALE SHROUDED ROTOR FOR MICRO AIR VEHICLE APPLICATIONS,2004,https://doi.org/10.4050/vfs-f60-000155,"The shrouded rotor concept has been gaining popularity in VTOL micro air vehicle (MAV) designs. It is well known that the static thrust performance of a propeller can be significantly improved by enclosing it in a shroud or duct. However, there is a lack of detailed information available to the MAV designer on the effects of different design variables, like diffuser divergence angle, inlet lip radius and blade tip clearance, on the performance of shrouded rotors at the low Reynolds numbers (∼20,000 - 30,000) corresponding to MAV applications. An investigation of the effects of such variables was conducted on four different rotor-shroud combinations, using three shrouds with different diffuser included angles (0°, 10° and 20°) and inlet lip radii (6%, 9% and 13% of rotor diameter). The experiments show that increasing the lip radius and providing a smooth fairing for the rotor after-body may help increase the thrust produced, and that decreasing the blade tip clearance may enable reductions in power consumption. A novel method for incorporating the expansion ratio of the shroud’s diffuser into a blade-element-momentum theory analysis of a shrouded rotor is proposed, which shows good agreement with experimental data.",8,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""shrouded rotor micro air vehicle static thrust"", ""rank"": 1, ""source_id"": ""doi:10.4050/vfs-f60-000155""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""shrouded rotor micro air vehicle static thrust"", ""rank"": 1, ""source_id"": ""doi:10.4050/vfs-f60-000155""}"
doi:10.1088/1361-6501/ad915f,Blade tip clearance measurement method based on blade tip timing without the once per revolution sensor,2024,https://doi.org/10.1088/1361-6501/ad915f,"Abstract The rotor blade tip clearance (BTC) of an aeroengine is a critical parameter that significantly impacts its performance and safety. Accurately determining dynamic BTC has been a focal point of research in experimental testing. Among the effective measurement methods for dynamic BTC, the laser triangulation method based on blade tip timing (BTT) stands out. However, this method typically relies on an once-per-revolution (OPR) sensor for rotor speed and blade serial number information during measurement, leading to increased installation and maintenance costs as well as additional measurement uncertainties. In response to this challenge, this paper presents two signal processing method that eliminate the need for an OPR sensor. The first method, referred to as ‘none OPR method 1,’ closely follows the measurement principles of the traditional method but employs a skewed dual light probe (SDLP) signal to extract rotational speed information, thus obviating the need for an OPR sensor. The second method, ‘none OPR method 2,’ introduces a novel data processing approach that enables BTC determination without any source of rotor speed information. Both methods utilize dynamic and static BTC matching techniques to identify blade serial numbers and achieve BTC measurement without an OPR sensor on a simulated rotor experimental bench. Comparative analysis with traditional method BTC measurements reveals that, under stable rotor speeds, all methods achieve similar",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 5, ""source_id"": ""doi:10.1088/1361-6501/ad915f""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 5, ""source_id"": ""doi:10.1088/1361-6501/ad915f""}"
doi:10.1115/1.2814098,A Blade-by-Blade Tip Clearance Measurement System for Gas Turbine Applications,1995,https://doi.org/10.1115/1.2814098,"It is difficult to make a reliable measurement of running clearance in the hostile environment over the blading of a modern gas turbine. When engine manufacturers require the measurement to be made over every blade during live engine tests, system reliability, ruggedness, and ease of operation are of primary importance. This paper describes a tip clearance measurement system that can measure clearance over every blade around a rotor. The measurement system concept is presented, and the system design described in detail. Commissioning of the measurement system on a compressor test facility, and the results obtained are discussed. An analysis of system performance during the commissioning trials concludes the paper.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 37, ""source_id"": ""doi:10.1115/1.2814098""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 37, ""source_id"": ""doi:10.1115/1.2814098""}"
doi:10.1115/94-gt-040,A Blade by Blade Tip Clearance Measurement System for Gas Turbine Applications,1994,https://doi.org/10.1115/94-gt-040,"It is difficult to make a reliable measurement of running clearance in the hostile environment over the blading of a modern gas turbine. When engine manufacturers require the measurement to be made over every blade during live engine tests, system reliability, ruggedness and ease of operation are of primary importance. This paper describes a tip clearance measurement system that can measure clearance over every blade around a rotor. The measurement system concept is presented, and the system design described in detail. Commissioning of the measurement system on a compressor test facility, and the results obtained are discussed. An analysis of system performance during the commissioning trials concludes the paper.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 38, ""source_id"": ""doi:10.1115/94-gt-040""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 38, ""source_id"": ""doi:10.1115/94-gt-040""}"
doi:10.1115/gt2003-38284,Compressor Blade Tip Timing Using Capacitance Tip Clearance Probes,2003,https://doi.org/10.1115/gt2003-38284,"Turbomachinery blade vibrations of sufficient amplitude cause High Cycle Fatigue, which reduces blade life. In order to observe this vibration a non-intrusive monitoring system is sought. The vibration can be detected by measuring blade tip timing since in the presence of vibration the blade timing will differ slightly from the passing time calculated from rotor speed. This paper provides new insights into the ability of a commercially available capacitance probe tip clearance measurement system for application as a non-intrusive turbomachinery blade tip timing measurement device. Initial experimental investigations are reported where a compressor blade with mounted strain gauges is used in a low-speed compressor. Capacitance probe results are correlated with simultaneously measured strain gauge results. Finite Element simulations are also used. The performance of the capacitance system in measuring blade vibration is analysed. Measurements were facilitated by the commissioning of a new instrument dedicated compressor test facility and this test facility is described.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 9, ""source_id"": ""doi:10.1115/gt2003-38284""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 9, ""source_id"": ""doi:10.1115/gt2003-38284""}"
doi:10.1115/gt2013-94104,The Development of a Hot Section Eddy Current Sensor for Turbine Tip Clearance Measurement,2013,https://doi.org/10.1115/gt2013-94104,Gas turbine efficiency can be improved with tighter turbine tip clearances. An approach being developed by engine manufacturers deploys active tip clearance monitoring where the turbine casing diameter is actively controlled in-service either mechanically or thermally. Typically current engines operate at about 1% clearance of blade span. With active control this could potentially be reduced significantly. Ideally active tip clearance control requires closed loop feedback measurements to maintain very small clearances without the risk of blade tip contact with the casing liner. Therefore reliable and robust sensors systems are required that can operate at the elevated temperatures found in modern gas turbines. Currently there are limited sensor systems available that can operate at these temperatures and survive typical sensor life requirements of many thousands of hours. This study details development of a high temperature eddy current sensor system for hot section applications. The investigation encompasses development and validation of an integrated sensor design to provide tip clearance measurements. The sensor is designed to withstand temperatures of order 1500 to 1600K. Test facilities used to validate the system include a RB168 Mk 101 Spey engine and a Rolls-Royce VIPER engine. The turbine casings of both engines were modified to fit sensors directly above the rotor. The accuracy of the system was validated in a high speed rotor test facil,7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 17, ""source_id"": ""doi:10.1115/gt2013-94104""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 17, ""source_id"": ""doi:10.1115/gt2013-94104""}"
doi:10.1115/gt2018-76837,Non-Uniform Tip Clearance Effects on Turbocharger Compressor Performance,2018,https://doi.org/10.1115/gt2018-76837,"In most turbocharger compressors, diffusers a re designed with contractions along the passage mainly for delaying surge. The width ratio parameter, B, which defines the diffuser inlet width to diameter ratio significantly affects the losses in the diffuser. Changes to tip clearance, for example, due to the impeller rubbing the shroud casing changes the fluid flow angle at the impeller exit. The sensitivity of the absolute flow angle to the width ratio parameter has a significant influence on diffuser effectiveness and stage performance. This paper reports an investigation of tip clearance sensitivity to vaneless diffuser and stage performance of a turbocharger compressor. To assess the correlation between performance parameters and the tip clearance, Design of Experiments (DoE) was used to sample 40 design cases by changing the clearance at the leading (LE) and trailing edges (TE) of the impeller. Parameters correlation was subsequently used to determine their relationship. The key findings were that stage efficiency and pressure ratio increased linearly with decreasing LE and TE clearances having a maximum sensitivity value R = 0.7. Diffuser Cp showed a strong positive correlation for TE and a weak negative correlation for LE. Similarly, work input and diffuser loss coefficient showed an inverse relation to diffuser Cp with a maximum R value of 0.9. It was concluded that increasing the tip clearance at TE improves the diffuser effectiveness. The main source of low diffuser C",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""circumferential non-uniform tip clearance compressor stall margin"", ""rank"": 7, ""source_id"": ""doi:10.1115/gt2018-76837""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""circumferential non-uniform tip clearance compressor stall margin"", ""rank"": 7, ""source_id"": ""doi:10.1115/gt2018-76837""}"
doi:10.1177/17568293221117189,"Design, development, and flight testing of a tube-launched coaxial-rotor based micro air vehicle",2022,https://doi.org/10.1177/17568293221117189,"This paper describes the development and flight testing of a compact, re-configurable, hover-capable rotary-wing micro air vehicle that could be tube launched for increasing mission range. The vehicle design features a coaxial rotor with foldable blades, thrust-vectoring mechanism for pitch/roll control and differential rpm for yaw control. The vehicle was stabilized using a cascaded feedback controller implemented on a 1.7-gram custom-designed autopilot. Wind tunnel tests conducted using a single-degree-of-freedom stand demonstrated gust-tolerance up to 5 m/s, which was verified via flight testing. Finally, the 366-gram vehicle was launched vertically from a pneumatic cannon followed by a stable projectile phase, passive rotor unfolding, and transition to a stable hover from arbitrarily large attitude angles demonstrating the robustness of the controller.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""shrouded rotor micro air vehicle static thrust"", ""rank"": 23, ""source_id"": ""doi:10.1177/17568293221117189""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""shrouded rotor micro air vehicle static thrust"", ""rank"": 23, ""source_id"": ""doi:10.1177/17568293221117189""}"
doi:10.2139/ssrn.5966937,Flow Mechanisms and Stability-Margin Prediction for a Transonic Compressor with Eccentricity-Induced Circumferential Tip-Clearance Non-Uniformity,2025,https://doi.org/10.2139/ssrn.5966937,,7,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""circumferential non-uniform tip clearance compressor stall margin"", ""rank"": 2, ""source_id"": ""doi:10.2139/ssrn.5966937""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""circumferential non-uniform tip clearance compressor stall margin"", ""rank"": 2, ""source_id"": ""doi:10.2139/ssrn.5966937""}"
doi:10.3390/s17010165,Optical Tip Clearance Measurements as a Tool for Rotating Disk Characterization,2017,https://doi.org/10.3390/s17010165,,7,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""openalex"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 16, ""source_id"": ""doi:10.3390/s17010165""}]","{""abstract_available"": false, ""db"": ""openalex"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 16, ""source_id"": ""doi:10.3390/s17010165""}"
doi:10.3390/s24185938,Numerical Investigation on the Influence of Turbine Rotor Parameters on the Eddy Current Sensor for the Dynamic Blade Tip Clearance Measurement,2024,https://doi.org/10.3390/s24185938,,7,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""openalex"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 17, ""source_id"": ""doi:10.3390/s24185938""}, {""abstract_available"": false, ""db"": ""openalex"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 18, ""source_id"": ""doi:10.3390/s24185938""}]","{""abstract_available"": false, ""db"": ""openalex"", ""query"": ""blade tip timing clearance measurement uncertainty calibration"", ""rank"": 17, ""source_id"": ""doi:10.3390/s24185938""}"
doi:10.4050/vfs-f66-000338,Influence of Tip Clearance and Inlet Flow Distortion on Ducted Fan Performance in VTOL UAVs,2010,https://doi.org/10.4050/vfs-f66-000338,"Ducted fan vertical take-off and landing (VTOL) uninhabited aerial vehicles (UAV) are popular because they offer higher disk loading compared to open rotors and improve propulsive performance. Although ducted fans provide high performance in many VTOL applications, there are still unresolved problems associated with them especially in the forward flight mode. The main problems in these applications are distortion of inlet flow due to forward flight and tip leakage related problems in hover and forward flight modes. The present experimental study mainly uses total pressure measurements downstream of a ducted fan rotor to investigate the performance drop in hover and forward flight condition related with these problems. Tip leakage flow related total pressure losses are dominant in hover condition. Losses are dramatically increased in forward flight due to inlet lip separation and inlet flow distortion. For a better comparison of the tip clearance effects in forward flight, a new parameter named as ""Forward flight penalty"" is defined. In addition to comprehensive aerodynamic loss measurements downstream of the rotor, the paper also discusses the results from the early stage of a computational study aiming to calculate the 3D turbulent viscous flow in and around the ducted fan.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan VTOL UAV aerodynamic performance experiment"", ""rank"": 33, ""source_id"": ""doi:10.4050/vfs-f66-000338""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan VTOL UAV aerodynamic performance experiment"", ""rank"": 33, ""source_id"": ""doi:10.4050/vfs-f66-000338""}"
doi:10.4050/vfs-f66-000339,Flight Testing and Model Based Control of Shrouded Rotor Micro Air Vehicle in Hover with Edgewise Gusts,2010,https://doi.org/10.4050/vfs-f66-000339,"This paper focuses on the feedback control system development and flight testing of a shrouded rotor MAV with anti-torque vanes (TiShrov) in hover with the presence of edgewise gusts. The vehicle was designed modularly to enable studies on the the differences in flight stability between a shrouded and an unshrouded rotor incorporating either a teetering or a hingeless hub. Effects of asymmetric tip clearance and variations in rotor tip path plane relative to shroud axis on flight stability were studied. A closed loop PID controller was developed and flight tested to mitigate unstable oscillations in flight. System identification studies of the attitude dynamics were conducted and a model based LQR controller was developed. Disturbance rejection capabilities of the controller were tested with the vehicle in edgewise flow. To safeguard the model, the vehicle was constrained in translation on a spherical gimbal setup. Two sources of gust were used: table fan and wind tunnel flow. The controller was successfully able to reject the low intensity gust disturbances from both sources. The shrouded vehicle was found to tolerate up to 2m/s of edgewise gusts whereas the unshrouded rotor configuration could tolerate up to 4.8 m/s of gust. These studies demonstrated that shrouded rotor MAVs are better suited for indoor applications in hover to low speed forward flight with a low level of gusts.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""shrouded rotor micro air vehicle static thrust"", ""rank"": 6, ""source_id"": ""doi:10.4050/vfs-f66-000339""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""shrouded rotor micro air vehicle static thrust"", ""rank"": 6, ""source_id"": ""doi:10.4050/vfs-f66-000339""}"
doi:10.1016/j.cja.2022.09.012,New model-based method for aero-engine turbine blade tip clearance measurement,2022,https://doi.org/10.1016/j.cja.2022.09.012,,6,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""openalex"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 15, ""source_id"": ""doi:10.1016/j.cja.2022.09.012""}]","{""abstract_available"": false, ""db"": ""openalex"", ""query"": ""eddy current tip clearance sensor turbomachinery"", ""rank"": 15, ""source_id"": ""doi:10.1016/j.cja.2022.09.012""}"
